"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Создание заказа","4","0","Позитивный сценарий с параметризацией","0"
"0","","1","Создание курьера","3","0","Негативный сценарий","0"
"0","","1","Логин курьера","2","0","Негативный сценарий","0"
"0","","0","Список заказов","1","0","Позитивный сценарий","0"
"0","","0","Логин курьера","1","0","Позитивный сценарий","0"
"0","","0","Создание курьера","1","0","Позитивный сценарий","0"
